timestamp,resource,cpuPercent,memPercent,movingAvg
2025-10-31 13:14:29,resource,0.00,0.00,0.00
2025-10-31 13:14:34,resource,0.00,0.00,0.00
2025-10-31 13:14:39,resource,0.00,0.00,0.00
2025-10-31 13:14:44,resource,0.00,0.00,0.00
2025-10-31 13:14:49,resource,0.00,0.00,0.00
2025-10-31 13:14:54,resource,0.00,0.00,0.00
2025-10-31 13:14:59,resource,0.00,0.00,0.00
2025-10-31 13:15:04,resource,0.00,0.00,0.00
2025-10-31 13:17:59,resource,0.00,0.00,0.00
2025-10-31 13:18:04,resource,0.00,0.00,0.00
2025-10-31 13:18:09,resource,0.00,0.00,0.00
2025-10-31 13:18:14,resource,0.00,0.00,0.00
2025-10-31 13:18:19,resource,0.00,0.00,0.00
2025-10-31 13:18:24,resource,0.00,0.00,0.00
2025-10-31 13:18:29,resource,0.00,0.00,0.00
2025-10-31 13:18:34,resource,0.00,0.00,0.00
2025-10-31 13:18:39,resource,0.00,0.00,0.00
2025-10-31 13:18:44,resource,0.00,0.00,0.00
2025-10-31 13:18:49,resource,0.00,0.00,0.00
2025-10-31 13:18:54,resource,0.00,0.00,0.00
2025-10-31 13:18:59,resource,0.00,0.00,0.00
2025-10-31 13:19:04,resource,0.00,0.00,0.00
2025-10-31 13:19:09,resource,0.00,0.00,0.00
2025-10-31 13:19:14,resource,0.00,0.00,0.00
2025-10-31 13:19:19,resource,0.00,0.00,0.00
2025-10-31 13:19:24,resource,0.00,0.00,0.00
2025-10-31 13:19:29,resource,0.00,0.00,0.00
2025-10-31 13:19:34,resource,0.00,0.00,0.00
2025-10-31 13:19:39,resource,0.00,0.00,0.00
2025-10-31 13:19:44,resource,0.00,0.00,0.00
2025-10-31 13:19:49,resource,0.00,0.00,0.00
2025-10-31 13:19:54,resource,0.00,0.00,0.00
2025-10-31 13:19:59,resource,0.00,0.00,0.00
2025-10-31 13:20:04,resource,0.00,0.00,0.00
2025-10-31 13:20:09,resource,0.00,0.00,0.00
2025-10-31 13:21:49,resource,0.00,0.00,0.00
2025-10-31 13:21:54,resource,0.00,0.00,0.00
2025-10-31 13:21:59,resource,0.00,0.00,0.00
2025-10-31 13:22:04,resource,0.00,0.00,0.00
2025-10-31 13:22:09,resource,0.00,0.00,0.00
2025-10-31 13:22:14,resource,0.00,0.00,0.00
